iteration,node_order,steps
0,"[0, 1, 2, 3, 4]",8
1,"[0, 4, 3, 2, 1]",10
2,"[3, 0, 2, 4, 1]",133
3,"[4, 3, 1, 2, 0]",6
4,"[0, 1, 4, 3, 2]",83
5,"[2, 4, 1, 0, 3]",10
6,"[2, 3, 1, 0, 4]",44
7,"[4, 3, 2, 0, 1]",10
8,"[2, 3, 1, 4, 0]",10
9,"[1, 4, 0, 2, 3]",10
10,"[4, 2, 0, 3, 1]",22
11,"[3, 0, 1, 2, 4]",14
12,"[3, 2, 1, 0, 4]",10
13,"[2, 0, 3, 4, 1]",18
14,"[3, 2, 0, 1, 4]",70
15,"[0, 4, 2, 3, 1]",7
16,"[3, 2, 4, 0, 1]",16
17,"[2, 3, 1, 4, 0]",14
18,"[3, 2, 0, 4, 1]",68
19,"[4, 3, 1, 0, 2]",19
20,"[0, 3, 4, 1, 2]",14
21,"[2, 1, 4, 0, 3]",14
22,"[1, 2, 3, 4, 0]",19
23,"[1, 2, 3, 0, 4]",37
24,"[0, 4, 2, 1, 3]",9
25,"[2, 4, 3, 1, 0]",53
26,"[1, 0, 2, 3, 4]",21
27,"[3, 4, 2, 1, 0]",54
28,"[3, 1, 0, 4, 2]",36
29,"[1, 4, 3, 0, 2]",13
30,"[3, 4, 1, 0, 2]",10
31,"[4, 2, 3, 1, 0]",8
32,"[0, 3, 1, 2, 4]",7
33,"[3, 0, 1, 2, 4]",35
34,"[0, 2, 4, 3, 1]",6
35,"[2, 3, 4, 1, 0]",18
36,"[0, 3, 2, 4, 1]",9
37,"[3, 1, 0, 4, 2]",54
38,"[0, 4, 1, 3, 2]",6
39,"[4, 1, 0, 3, 2]",9
40,"[2, 3, 1, 0, 4]",61
41,"[4, 2, 0, 1, 3]",20
42,"[2, 1, 4, 0, 3]",13
43,"[4, 3, 1, 2, 0]",10
44,"[1, 3, 2, 0, 4]",10
45,"[0, 2, 4, 3, 1]",7
46,"[0, 2, 4, 3, 1]",29
47,"[3, 2, 4, 0, 1]",16
48,"[4, 2, 0, 3, 1]",9
49,"[1, 3, 0, 2, 4]",21
50,"[3, 0, 4, 2, 1]",8
51,"[3, 2, 4, 0, 1]",32
52,"[0, 4, 1, 2, 3]",26
53,"[0, 1, 2, 4, 3]",7
54,"[0, 3, 2, 4, 1]",8
