generation,individual_index,fitness,tau,lr,layers,activations
0,0,2.846,0.05,0.008,[2],"[<built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
0,1,2.8086665,0.005,0.002,[32],"[<function softmax at 0x1070f0cc0>, <function leaky_relu at 0x1070f0900>]"
0,2,2.8158333,0.001,0.001,[2],"[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>]"
0,3,2.8276668,0.001,0.01,"[4, 2, 2]","[<function relu at 0x1070f04a0>, <function softmax at 0x1070f0cc0>, <function relu at 0x1070f04a0>, <built-in method sigmoid of type object at 0x1056829d0>]"
0,4,2.8171668,0.02,0.008,"[64, 2, 64]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>, <function relu at 0x1070f04a0>]"
0,5,2.9481668,0.01,0.008,[64],"[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>]"
0,6,2.8763332,0.005,0.001,[2],"[<function relu at 0x1070f04a0>, <built-in method sigmoid of type object at 0x1056829d0>]"
0,7,3.307,0.02,0.01,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method tanh of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
0,8,2.9156666,0.001,0.005,"[16, 8, 32, 4]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>, <function softmax at 0x1070f0cc0>]"
0,9,3.3905,0.02,0.008,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
0,10,2.891,0.001,0.005,"[32, 8, 2]","[<built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>, <function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>]"
0,11,2.9403336,0.01,0.001,"[4, 64]","[<function softmax at 0x1070f0cc0>, <function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>]"
1,0,2.8441665,0.001,0.005,"[32, 8, 2]","[<built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>, <function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>]"
1,1,2.8925,0.001,0.005,"[16, 8, 32, 4]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>, <function softmax at 0x1070f0cc0>]"
1,2,2.8811665,0.01,0.001,"[4, 64]","[<function softmax at 0x1070f0cc0>, <function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>]"
1,3,2.8733332,0.02,0.01,"[64, 8]","[<function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>]"
