iteration,node_order,steps
0,"[0, 1, 2, 3, 4]",1575
1,"[3, 4, 2, 1, 0]",880
2,"[1, 2, 4, 0, 3]",299
3,"[3, 4, 1, 0, 2]",283
4,"[3, 1, 4, 0, 2]",226
5,"[1, 4, 2, 3, 0]",1425
6,"[2, 3, 4, 1, 0]",752
7,"[4, 0, 3, 1, 2]",1290
8,"[4, 2, 3, 1, 0]",996
9,"[1, 4, 0, 2, 3]",595
10,"[4, 3, 2, 0, 1]",779
11,"[0, 3, 2, 1, 4]",219
12,"[2, 4, 3, 0, 1]",851
13,"[3, 0, 2, 4, 1]",367
14,"[0, 4, 2, 1, 3]",390
15,"[1, 2, 3, 4, 0]",463
16,"[1, 2, 4, 0, 3]",333
17,"[0, 3, 4, 1, 2]",1830
18,"[1, 0, 3, 4, 2]",553
19,"[4, 2, 0, 3, 1]",1417
20,"[1, 0, 4, 3, 2]",1916
21,"[2, 0, 4, 3, 1]",1108
22,"[0, 1, 3, 2, 4]",603
23,"[4, 0, 3, 1, 2]",1062
24,"[1, 0, 4, 3, 2]",940
25,"[4, 2, 1, 0, 3]",498
26,"[4, 0, 2, 3, 1]",1286
27,"[4, 3, 1, 0, 2]",1452
28,"[4, 1, 2, 0, 3]",295
29,"[1, 2, 4, 0, 3]",1040
30,"[1, 2, 0, 4, 3]",1155
31,"[2, 4, 0, 1, 3]",1622
32,"[0, 2, 1, 4, 3]",2465
33,"[0, 4, 3, 2, 1]",1373
34,"[1, 3, 0, 2, 4]",1185
35,"[2, 1, 4, 3, 0]",1029
36,"[3, 4, 0, 1, 2]",5419
37,"[1, 2, 0, 3, 4]",881
38,"[1, 2, 0, 4, 3]",208
39,"[1, 3, 2, 4, 0]",434
40,"[2, 4, 0, 3, 1]",383
41,"[4, 0, 2, 1, 3]",168
42,"[4, 1, 3, 0, 2]",1317
43,"[4, 3, 2, 0, 1]",716
44,"[4, 2, 1, 3, 0]",337
45,"[4, 3, 1, 0, 2]",574
46,"[0, 4, 2, 3, 1]",1614
47,"[2, 3, 0, 4, 1]",810
48,"[0, 2, 4, 1, 3]",1251
