iteration,node_order,steps
0,"[0, 1, 2, 3, 4]",3857
1,"[0, 2, 1, 3, 4]",649
2,"[4, 0, 1, 2, 3]",3413
3,"[1, 0, 2, 3, 4]",5226
4,"[0, 2, 1, 4, 3]",499
5,"[4, 2, 1, 3, 0]",10250
6,"[4, 0, 1, 2, 3]",1447
7,"[3, 0, 2, 4, 1]",6100
8,"[3, 0, 1, 2, 4]",1212
9,"[1, 4, 2, 0, 3]",603
10,"[4, 3, 0, 1, 2]",472
11,"[3, 4, 0, 1, 2]",455
12,"[1, 0, 2, 4, 3]",4688
13,"[0, 4, 3, 1, 2]",4004
14,"[0, 3, 2, 1, 4]",5454
15,"[2, 1, 0, 4, 3]",6027
16,"[4, 3, 2, 0, 1]",903
17,"[1, 2, 0, 4, 3]",2487
18,"[4, 2, 3, 1, 0]",1536
19,"[0, 2, 4, 3, 1]",7682
20,"[1, 0, 4, 3, 2]",7906
21,"[0, 3, 4, 1, 2]",3493
22,"[4, 1, 0, 2, 3]",5611
23,"[1, 4, 0, 2, 3]",1663
24,"[4, 0, 3, 1, 2]",4242
25,"[1, 3, 4, 0, 2]",4027
26,"[3, 1, 2, 4, 0]",3503
27,"[3, 4, 1, 0, 2]",4990
28,"[0, 1, 3, 2, 4]",462
29,"[3, 1, 4, 0, 2]",2015
30,"[1, 3, 2, 0, 4]",1493
31,"[4, 0, 3, 2, 1]",13552
32,"[4, 1, 2, 0, 3]",12488
33,"[1, 0, 4, 2, 3]",968
34,"[3, 4, 2, 1, 0]",11516
35,"[4, 1, 2, 0, 3]",4438
36,"[2, 3, 1, 0, 4]",7103
37,"[0, 2, 1, 4, 3]",230
38,"[3, 2, 1, 0, 4]",4069
39,"[4, 1, 3, 2, 0]",488
40,"[1, 4, 0, 3, 2]",1600
41,"[1, 4, 0, 3, 2]",5920
42,"[1, 4, 0, 2, 3]",1370
43,"[2, 0, 1, 4, 3]",294
44,"[4, 0, 3, 2, 1]",2872
45,"[4, 0, 1, 3, 2]",2952
46,"[4, 0, 2, 3, 1]",1954
47,"[4, 2, 0, 1, 3]",246
48,"[1, 2, 3, 0, 4]",1967
49,"[1, 4, 2, 3, 0]",577
50,"[1, 2, 4, 3, 0]",2973
51,"[2, 3, 4, 0, 1]",2484
52,"[2, 4, 0, 1, 3]",465
53,"[0, 2, 3, 4, 1]",483
54,"[2, 4, 0, 1, 3]",58
55,"[0, 3, 4, 2, 1]",184
56,"[0, 2, 3, 4, 1]",1646
57,"[2, 1, 0, 3, 4]",449
58,"[3, 1, 4, 0, 2]",16438
59,"[2, 4, 3, 1, 0]",498
60,"[1, 2, 3, 4, 0]",1855
61,"[1, 2, 0, 4, 3]",11072
62,"[2, 4, 1, 3, 0]",4984
63,"[1, 2, 3, 4, 0]",3450
64,"[4, 3, 0, 1, 2]",486
65,"[4, 0, 1, 3, 2]",4026
66,"[2, 4, 3, 0, 1]",3991
67,"[0, 2, 1, 3, 4]",4927
68,"[0, 1, 3, 2, 4]",1291
69,"[3, 2, 4, 0, 1]",2640
70,"[4, 1, 3, 0, 2]",2764
71,"[3, 4, 0, 1, 2]",474
72,"[2, 1, 3, 4, 0]",1342
73,"[3, 2, 1, 0, 4]",1298
74,"[4, 0, 2, 1, 3]",2592
