generation,individual_index,fitness,tau,lr,layers,activations
0,0,2.8271666,0.02,0.01,"[2, 64, 32]","[<function leaky_relu at 0x108d684a0>, <function softmax at 0x108d68860>, <function relu at 0x108d68040>, <function softmax at 0x108d68860>]"
0,1,2.9715,0.001,0.01,"[32, 32, 32, 2]","[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function leaky_relu at 0x108d684a0>, <built-in method tanh of type object at 0x1079969d0>]"
0,2,2.8595,0.05,0.005,"[32, 32, 4, 8]","[<function leaky_relu at 0x108d684a0>, <built-in method tanh of type object at 0x1079969d0>, <function relu at 0x108d68040>, <function leaky_relu at 0x108d684a0>, <built-in method sigmoid of type object at 0x1079969d0>]"
0,3,3.057,0.01,0.001,[8],"[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>]"
0,4,2.7663333,0.005,0.002,"[4, 16, 64]","[<function leaky_relu at 0x108d684a0>, <function relu at 0x108d68040>, <function leaky_relu at 0x108d684a0>, <function relu at 0x108d68040>]"
0,5,2.8156667,0.02,0.01,[4],"[<built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>]"
0,6,2.7716665,0.05,0.002,"[64, 4, 32, 32]","[<built-in method sigmoid of type object at 0x1079969d0>, <built-in method tanh of type object at 0x1079969d0>, <function leaky_relu at 0x108d684a0>, <built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>]"
0,7,3.0901666,0.01,0.001,"[16, 32, 32, 4]","[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>, <function softmax at 0x108d68860>]"
0,8,2.810833,0.001,0.001,"[2, 32]","[<function relu at 0x108d68040>, <function leaky_relu at 0x108d684a0>, <built-in method sigmoid of type object at 0x1079969d0>]"
0,9,2.8225,0.05,0.002,[8],"[<built-in method sigmoid of type object at 0x1079969d0>, <built-in method tanh of type object at 0x1079969d0>]"
0,10,2.9188333,0.001,0.008,"[64, 2, 8]","[<function softmax at 0x108d68860>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>, <function relu at 0x108d68040>]"
0,11,2.7948332,0.01,0.001,[16],"[<built-in method tanh of type object at 0x1079969d0>, <built-in method tanh of type object at 0x1079969d0>]"
1,0,3.0683331,0.01,0.001,"[16, 32, 32, 4]","[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>, <function softmax at 0x108d68860>]"
1,1,2.874,0.05,0.005,"[32, 32, 4, 8]","[<function leaky_relu at 0x108d684a0>, <built-in method tanh of type object at 0x1079969d0>, <function relu at 0x108d68040>, <function leaky_relu at 0x108d684a0>, <built-in method sigmoid of type object at 0x1079969d0>]"
1,2,2.859,0.001,0.01,"[32, 32, 32, 2]","[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function leaky_relu at 0x108d684a0>, <built-in method tanh of type object at 0x1079969d0>]"
1,3,2.8795,0.02,0.01,"[2, 64, 32]","[<function leaky_relu at 0x108d684a0>, <function softmax at 0x108d68860>, <function relu at 0x108d68040>, <function softmax at 0x108d68860>]"
1,4,2.9681668,0.001,0.008,"[64, 2, 8]","[<function softmax at 0x108d68860>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>, <function relu at 0x108d68040>]"
1,5,2.8541665,0.01,0.001,[8],"[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>]"
1,6,2.8953335,0.01,0.005,"[16, 32, 32, 8]","[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>]"
1,7,2.8093333,0.01,0.001,"[32, 32, 4, 4]","[<function leaky_relu at 0x108d684a0>, <built-in method tanh of type object at 0x1079969d0>, <function relu at 0x108d68040>, <function leaky_relu at 0x108d684a0>, <function softmax at 0x108d68860>]"
1,8,2.828,0.001,0.01,"[32, 32, 32]","[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>]"
1,9,2.8156664,0.001,0.01,"[2, 64, 32, 2]","[<function leaky_relu at 0x108d684a0>, <function softmax at 0x108d68860>, <function relu at 0x108d68040>, <function leaky_relu at 0x108d684a0>, <built-in method tanh of type object at 0x1079969d0>]"
1,10,3.0115,0.001,0.001,[64],"[<function softmax at 0x108d68860>, <function softmax at 0x108d68860>]"
1,11,2.9271665,0.001,0.008,"[8, 2, 8]","[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function relu at 0x108d68040>]"
2,0,2.912,0.001,0.001,[64],"[<function softmax at 0x108d68860>, <function softmax at 0x108d68860>]"
2,1,2.9071665,0.01,0.005,"[16, 32, 32, 8]","[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>]"
2,2,2.8125,0.001,0.008,"[64, 2, 8]","[<function softmax at 0x108d68860>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>, <function relu at 0x108d68040>]"
2,3,2.9053335,0.001,0.008,"[8, 2, 8]","[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function relu at 0x108d68040>]"
2,4,2.8975,0.02,0.01,"[2, 64, 32]","[<function leaky_relu at 0x108d684a0>, <function softmax at 0x108d68860>, <function relu at 0x108d68040>, <function softmax at 0x108d68860>]"
2,5,3.0348332,0.01,0.001,"[16, 32, 32, 4]","[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>, <function softmax at 0x108d68860>]"
2,6,2.8506668,0.001,0.005,"[64, 32, 32, 8]","[<function softmax at 0x108d68860>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>]"
2,7,2.8683333,0.001,0.001,[16],"[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>]"
2,8,2.9063332,0.001,0.008,"[64, 2, 8]","[<function softmax at 0x108d68860>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>, <function relu at 0x108d68040>]"
2,9,3.064,0.001,0.008,"[8, 2, 8]","[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function relu at 0x108d68040>]"
2,10,3.011,0.01,0.01,"[2, 64, 32, 4]","[<function leaky_relu at 0x108d684a0>, <function softmax at 0x108d68860>, <function relu at 0x108d68040>, <function softmax at 0x108d68860>, <function softmax at 0x108d68860>]"
2,11,3.159,0.02,0.001,"[16, 32, 32]","[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>]"
3,0,3.2005,0.001,0.008,"[8, 2, 8]","[<built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function relu at 0x108d68040>]"
3,1,2.786,0.01,0.005,"[16, 32, 32, 8]","[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>, <built-in method sigmoid of type object at 0x1079969d0>]"
3,2,2.905,0.01,0.01,"[2, 64, 32, 4]","[<function leaky_relu at 0x108d684a0>, <function softmax at 0x108d68860>, <function relu at 0x108d68040>, <function softmax at 0x108d68860>, <function softmax at 0x108d68860>]"
3,3,2.8173335,0.02,0.001,"[16, 32, 32]","[<function softmax at 0x108d68860>, <built-in method tanh of type object at 0x1079969d0>, <built-in method sigmoid of type object at 0x1079969d0>, <function softmax at 0x108d68860>]"
3,4,2.997,0.001,0.001,[64],"[<function softmax at 0x108d68860>, <function softmax at 0x108d68860>]"
